location,Followers,Hashtags,Username,Datetime,Text
,236,,iamnothappie,2022-12-29 23:33:12+00:00,"@WhosItaliun @PlayApex There was no banner lol, i pinged my own deathbox thats why it seemed like i grabbed a banner lol. And yes i have custom binds, i got my interact button on my right analog stick!"
,4,"['ApexLegends', 'ranked', 'ranked']",Everygamebots,2022-12-29 23:32:11+00:00,Lust met some legends in #ApexLegends and wow it felt good never did they throw like 98% of players in #ranked man these guys where the dopest teammates ever #ranked fucking with they added me cause I’d never see them again
clownhex queendom,150,['ApexLegends'],clownhexx,2022-12-29 23:31:18+00:00,popular unpopular opinion: wraith is meta and will always be meta #ApexLegends
,79,,KING66844439,2022-12-29 23:30:25+00:00,@theog_Pepper @PlayApex No one asked plus dog shit game
,236,,iamnothappie,2022-12-29 23:30:11+00:00,@ricebxbe @PlayApex Thank you! 🫶🏽 Will be posting more clips here since i got twitter blue
Your Fridge,168,,RottenSinclair,2022-12-29 23:30:03+00:00,"Whoever said Octane from Apex Legends is ugly, I will fight you."
Cap City,330,,Goonytunes_,2022-12-29 23:29:17+00:00,Only list u will need thank me later @PlayApex https://t.co/BTAWSC6Rr2
Made by ɴɪᴄᴏ / mdni / parody,205,,SalvosGrenadee,2022-12-29 23:28:06+00:00,//omg I’m playing apex legends for the first time in months
,15,,bxdles,2022-12-29 23:27:55+00:00,@alphaINTEL Apex legends needs cross progression and 120 fps for the new consoles 🥲
,6,,Im_C0MET,2022-12-29 23:27:29+00:00,@PlayApex @Respawn It’s time to revamp the res system in Apex. It’s been the same since the beginning and materials being a thing for a while now just make it to where we can make our teammates banners or increase timers something. Hate just spectating for 3/4 a game in ranked
,125,,EmilyBombino,2022-12-29 23:27:00+00:00,@CrustyToesTv @PlayApex Damn…. I only leave once banner is timed out. But GG.
,1864,['PS4live'],warrendied,2022-12-29 23:26:50+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/SPvUOYNe55
Edolas,1180,['exophase'],psiagani23,2022-12-29 23:26:32+00:00,naga played FIFA 23 (PS4) and Apex Legends (PS4) in the last 24 hours https://t.co/i4hGmlqOKk #exophase
greed island,131,"['fortniteevent', 'Fortnite', 'fortnite', 'consoleplayer', 'FaZeUp', 'FaZe1', 'FaZe', 'ApexLegends', 'YouTube', 'ConsoleKing', 'Fortniteleaks', 'FortniteSeason8', 'fortnitepro', 'ControllerGang', 'OneOfAKind', 'FortniteBattleRoyale', 'FortniteClips', 'OARC', 'Rebirth', 'warzone']",kogunaeYT,2022-12-29 23:26:13+00:00,LIVE RN! https://t.co/Rnr2Pplbz6 | #fortniteevent #Fortnite #fortnite #consoleplayer #FaZeUp #FaZe1 #FaZe #ApexLegends  #YouTube #ConsoleKing #Fortniteleaks #FortniteSeason8 #fortnitepro #ControllerGang #OneOfAKind #FortniteBattleRoyale  #FortniteClips #OARC #Rebirth #warzone
,1888,,no_viewers,2022-12-29 23:26:05+00:00,"thesneakysantav2 has been streaming Apex Legends for -44 minutes and no one's watching them, go say hi and make their day https://t.co/9dPS0sPA5X. Tag your favourite Apex Legends streamer."
Valenciennes,25,['exophase'],CyPortable,2022-12-29 23:26:04+00:00,CyAngelizer played Nioh 2 (PS5) and Apex Legends (PS4) in the last 24 hours https://t.co/GBj9YGRaku #exophase
Timezone Asia/Tokyo (GMT+9),266,"['ApexLegends', 'マップローテーション']",MapRotationBot,2022-12-29 23:23:41+00:00,"Current:
World's Edge at 08:00-09:00

Next:
Broken Moon at 09:00-10:30

#ApexLegends #マップローテーション"
,4,['ApexLegends'],ThirstyPancakes,2022-12-29 23:23:40+00:00,The subtle art of destruction #ApexLegends https://t.co/ZyNP1Tepgz
,206,['PS4live'],ihyalextv,2022-12-29 23:23:00+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/pReEIdPOm0
,424,"['ApexLegends', 'ranked', 'thursdayvibes', 'clips', 'twitch']",ridesrambles,2022-12-29 23:22:54+00:00,Fastest squad wipe in the east. 😂😂 #ApexLegends #ranked #thursdayvibes #clips #twitch https://t.co/iaDIriBka8
,185,,TPakuru,2022-12-29 23:22:39+00:00,@PlayApex Already released this 🤦🏽‍♂️😂
"Costa Mesa, CA",254,,soundaholism,2022-12-29 23:22:38+00:00,"@javierabegazo I tried Apex Legends which is also my first battle royale game ever. Had a really great first game and won 1st. I don't know if that screwed up my matchmaking but every game after that was death, confusion, and suffering 🥲"
Jacksonville ,266,,Bubbafutch1,2022-12-29 23:22:15+00:00,@NotSweetLayyy @PlayApex This 💯
,256,"['apex', 'apexlegends', 'overwatch', 'politics', 'black', 'car', 'apple', 'finance', 'live', 'timessquare', 'business', 'smallbussiness', 'sports', 'tiktok', 'iphone', 'gaming', 'cars', 'vehicle', 'overwatch2', 'tweets', 'weather', 'brooklyn', 'kpop', 'entertainment', 'hollywood', 'entrepreneur']",Chuckbuck__,2022-12-29 23:21:09+00:00,"Flatline always delivers the kills
#apex #apexlegends #overwatch #politics #black #car #apple #finance #live #timessquare #business #smallbussiness #sports #tiktok #iphone #gaming #cars #vehicle #overwatch2 #tweets #weather #brooklyn #kpop #entertainment #hollywood #entrepreneur https://t.co/ztMOQ6IySH"
El Salvador,238,['PS4live'],SpiderBoySV,2022-12-29 23:21:04+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/IWoUU1jelE
"Dallas, TX",573,,botisimostreams,2022-12-29 23:20:44+00:00,Live Now Playing Apex Legends! Come Hang Out With HxrvIceY &amp; Show Some ❤️ https://t.co/DLVb7YQWvQ
Canada,126,,TORgauravk,2022-12-29 23:20:11+00:00,"living a dream so don't wake me up please.. but you're welcome to watch :)

learning the @PlayApex ranked ropes with @heyGuhRL and @Misterarther 

https://t.co/LytKe3c0wt"
"Chicago, IL",120,"['PS5Share', 'ApexLegends']",Ovad0s3,2022-12-29 23:20:06+00:00,"I couldnt 1v3 so we lost #PS5Share, #ApexLegends https://t.co/zFkuIQTu4I"
,469,['ApexLegends'],ApexTop10,2022-12-29 23:19:42+00:00,"#ApexLegends TOP10
🥇 (89,822) Fuhhnq
🥈 (76,480) TimeClub-kBorrow
🥉 (72,376) Zachmazer
4⃣ (61,676) FURIA HisWattson
5⃣ (60,486) tttcheekyttt_SBI
6⃣ (59,418) dutchvand
7⃣ (57,568) Tao-w-
8⃣ (56,279) Ventis
9⃣ (53,544) Zaine
🔟 (52,260) AFuwu-w-"
Japan,1555,"['Vtuber', 'ApexLegends', 'VTuberUprising']",Aivee_Fawkes,2022-12-29 23:19:36+00:00,"Vtuber 【Apex Legends】Solo Q Fox Princess Gold to Platinum Push | Aivee Fawkes】Let’s Get it!
Lets get to Platinum!

8:30 p.m. JST / 3:30p.m. PT on Twitch!

#Vtuber #ApexLegends #VTuberUprising https://t.co/P0sdyttPxV"
"Kansas City, MO",29,,iLL3st1_,2022-12-29 23:18:18+00:00,@TermK47 @PlayApex Clean haven’t seen that one for a minute!
"Bronx, New York",384,,SonOfChar0079,2022-12-29 23:17:51+00:00,@alphaINTEL I don't play Apex Legends anymore.
,4471,,Fr0sty_T7,2022-12-29 23:17:38+00:00,@iLootGames @iamangelito_ @PlayApex from the mirage lord himself🙏❤️
,15,,cokaconda,2022-12-29 23:15:12+00:00,"@alphaINTEL everything what a good team-based game has.
A vc that is not buggy, allow players to adjust the volume of players specifically like Val, penalty systems. Apex has nothing that supports the idea of a ""team based game"" outside from legend abilities and heatshields/mobiles"
"Johannesburg, South Africa",44,,DoumanTristan,2022-12-29 23:14:39+00:00,"Festivities🎆🎆🎆🎆 Trying to beat them... PLATINUM LOBBIES😣😣😌  Help me get Affiliated will be highly appreciated 😁  Gaming Geek !! https://t.co/UKD1t0XnmU 
@PlayApex 
@FaZeApex 
@PlayApexEsports"
,19,,Bigmacfrikadel1,2022-12-29 23:14:04+00:00,"@20Nico01 @PlayApex Some months ago I saw ppl clowning on ppl who said ""dead game"" but at the current state I can just agree unfortunately"
May 4th,159,['PS4live'],McguireZen,2022-12-29 23:14:03+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/MwLh1q6NLn
,259,,AstrxBxy_,2022-12-29 23:11:22+00:00,Playing Apex Legends live at https://t.co/ItzMWV3gCV
,78,,bludgeonParagon,2022-12-29 23:11:10+00:00,@bonzaiburger @thegameawards Honestly Respawn seem so unbothered to make another one now that they're deep in the Apex Legends money pit I wouldn't mind if Microsoft moneyhatted a Titanfall 3 campaign just for the sake of an exclusive. God just give us more Titanfall content somehow
UK,1109,"['ApexLegends', 'XboxShare']",FatalGamingTtv,2022-12-29 23:10:29+00:00,Nice dub #ApexLegends #XboxShare https://t.co/7A7Heddfz4
,95,,Spicy7ortiya,2022-12-29 23:10:18+00:00,"@iamnothappie @PlayApex Happie, you cant be doing that, man. These ppl have families"
,4,"['ApexLegends', 'pubs', 'apexlegends']",Everygamebots,2022-12-29 23:09:29+00:00,And here’s a cringe kid telling the other person to read pawn is close to enemy’s like they dumb af with one kill #ApexLegends #pubs #apexlegends https://t.co/iONOCY8sN0
,215,,PSNCubehead14,2022-12-29 23:08:55+00:00,@NotSweetLayyy @PlayApex Lmk if u wanna run trio 🌚 https://t.co/6iKJKjup92
PS5,16,"['PS5Share', 'ApexLegends']",Saxult,2022-12-29 23:08:35+00:00,"#PS5Share, #ApexLegends “SAX WHERE YOU AT??!!"" https://t.co/c275Rmj4Hj"
,4,"['pubs', 'apexlegends']",Everygamebots,2022-12-29 23:08:26+00:00,Here’s a loser that doesn’t know how to play pubs and saying revive me when I had. Giving weapom are you dumb I’m. It going to come revive you while I have three losers on my dick are you dumb must be caus wyoi left like I wasn’t going to win fuck yous in #pubs in #apexlegends https://t.co/eAzs6njsnb
,63,"['streamer', 'twitch', 'pcgamer', 'apexlegends', 'live', 'smallstreamer', 'livestream', 'twitchgamer', 'battleroyale', 'twitchstream', 'pubg']",KhaoticKron,2022-12-29 23:07:23+00:00,"chilling on the links below catch us live!

__________________________________________
https://t.co/30c96DqSMM
https://t.co/sMrUtI1ONr
https://t.co/bGGFFDxzBY

#streamer #twitch #pcgamer #apexlegends #live #smallstreamer #livestream #twitchgamer #battleroyale #twitchstream #pubg https://t.co/mp5c4nGnQY"
"Texas, USA",83,"['PZGD', 'NeverSettle', 'ps4', 'gameplay', 'Apex', 'ApexLegends']",Nomadicdamon_,2022-12-29 23:06:58+00:00,"Poor pub noobs #PZGD #NeverSettle #ps4 #gameplay #Apex #ApexLegends

https://t.co/F1ryrXElY8 https://t.co/MZIo4QPlNe"
"Iowa, USA",29,"['apexlegends', 'playapex', 'gamer', 'apexlegendspc', 'pc', 'pcgaming', 'twitch', 'streamer']",dawfnerr,2022-12-29 23:06:30+00:00,"Well... i made it. Set a goal for myself this season, and i actually achieved it. Quite a few games i had my doubts, many frustrations, and rages. BUT i can offically say, I Solo Q'd to diamond.
#apexlegends #playapex #gamer #apexlegendspc #pc #pcgaming  #twitch #streamer https://t.co/OeLjnMmQvt"
,20,"['ApexLegends', 'TwitchStreamers', 'twitch', 'TWICE']",DarKid1299,2022-12-29 23:06:27+00:00,"Road To Predator - DarKid1299 
#ApexLegends #TwitchStreamers #twitch #TWICE 
https://t.co/UZAFnUTpZl"
F/25/Loba,1488,,isa_apexm,2022-12-29 23:06:21+00:00,YES MFER YES YES YES YES LOBA APEX MOBILE LEGENDS LOBA APEX LEGENDS MOBILE YES https://t.co/Br3Ou8QgXE
,88,,shampzl_yoyo,2022-12-29 23:04:22+00:00,@Failyr_ @Grrted @PlayApex Truly 😔
"Barking, London",255,['PS4live'],ZMalibou,2022-12-29 23:03:54+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/gh6bMcdXpD
