Username,Datetime,Text
Kris_RG1205,2022-12-01 23:59:31+00:00,"Thanks @shawnmendes for spending 5,311 minutes with me in 2022. I couldn’t stop listening to Memories. #SpotifyWrapped https://t.co/zOu3hCAONP"
The_devil_lady,2022-12-01 23:59:30+00:00,"Thanks @mcrofficial for spending 1,136 minutes with me in 2022. I couldn’t stop listening to The Foundations of Decay. #SpotifyWrapped https://t.co/5uR299iEEr"
Crepperhunter98,2022-12-01 23:59:30+00:00,"Thanks @machinegunkelly for spending 13,360 minutes with me in 2022. I couldn’t stop listening to emo girl (feat. WILLOW). #SpotifyWrapped https://t.co/8WwtsOdrA6"
DungForever,2022-12-01 23:59:30+00:00,"I almost never post at night but I think Spotify is telling me something....

#Instagay #Phillygay #Gayphilly #spotifywrapped #spotify #EndoftheYear #Music #taylorswift #DuaLipa https://t.co/JPbVzgI17B"
RobertWStise,2022-12-01 23:59:29+00:00,Thanks @riseagainst for spending 660 minutes with me in 2022. I couldn’t stop listening to Prayer Of The Refugee. #SpotifyWrapped https://t.co/tJZ49d9JNC
Mshappybubble,2022-12-01 23:59:29+00:00,"Thanks @thisislany for spending 6,743 minutes with me in 2022. I couldn’t stop listening to Stupid Feelings. #SpotifyWrapped https://t.co/Z4MqZvFli8"
Sarah_lthe04,2022-12-01 23:59:28+00:00,Merci Nancy Ajram pour ces 2 044 minutes passées ensemble en 2022. J'ai écouté Ma Tegi Hena en boucle. #SpotifyWrapped https://t.co/7Nn1jQddA0
gleamingkwonji,2022-12-01 23:59:27+00:00,"Imagine seeing a Spotify wrapped that says the person spent 525,600 minutes listening to Seasons of Love while the song plays in the background. 😌"
Megatron9091,2022-12-01 23:59:26+00:00,@SanjeevUpadhy13 Hai kya yeh Spotify wrapped ?
MiamiiPrincess,2022-12-01 23:59:26+00:00,I know my Spotify Wrapped a luh off cause no Nudy or Wayne???? Be fr
marieeuhh,2022-12-01 23:59:25+00:00,my spotify wrapped was embarrassing but not “air conditioner sounds” embarrassing
